"houseID","totalPrice","date"
"107000000069","950","20/4/2018 10:12:53"
"107000000177","585","20/4/2018 14:37:15"
"107000000225","185","20/4/2018 14:20:06"
"107000000539","403","20/4/2018 14:17:39"
"107000000553","150","20/4/2018 14:30:00"
"107000000593","1050","20/4/2018 14:24:31"
"107000000619","420","20/4/2018 14:53:21"
"107000000695","370","20/4/2018 14:42:50"
"107000001129","560","20/4/2018 14:28:44"
"107000001135","1200","20/4/2018 15:12:50"
"107000001383","533","20/4/2018 15:02:12"
"107000001425","750","20/4/2018 14:48:01"
"107000001467","638","20/4/2018 14:50:17"
"107000001525","340","20/4/2018 14:24:17"
"107000001579","198","20/4/2018 14:20:50"
"107000001701","368","20/4/2018 14:29:19"
"107000001811","1800","20/4/2018 15:09:09"
"107000001993","192","20/4/2018 14:25:09"
"107000002021","575","20/4/2018 14:27:36"
"107000002459","850","20/4/2018 14:30:06"
"107000002651","510","20/4/2018 14:23:00"
"107000002925","275","20/4/2018 14:18:55"
"107000003035","265","20/4/2018 14:51:52"
"107000003323","518","20/4/2018 14:15:06"
"107000003493","740","20/4/2018 14:33:59"
"107000003607","249","20/4/2018 14:57:41"
"107000003785","370","20/4/2018 10:13:18"
"107000003789","610","20/4/2018 14:34:22"
"107000004137","270","20/4/2018 10:14:43"
"107000004297","320","20/4/2018 14:44:08"
"107000004431","640","20/4/2018 10:11:29"
"107000004741","680","20/4/2018 14:55:18"
"107000004933","305","20/4/2018 10:14:56"
"107000005095","518","20/4/2018 14:30:19"
"107000005237","2000","20/4/2018 14:45:27"
"107000005321","238","20/4/2018 15:05:42"
"107000005359","265","20/4/2018 14:58:48"
"107000005373","630","20/4/2018 14:55:09"
"107000005419","358","20/4/2018 14:23:37"
"107000005585","480","20/4/2018 15:05:56"
"107000005889","230","20/4/2018 14:44:02"
"107000005903","565","20/4/2018 15:02:01"
"107000005971","300","20/4/2018 14:48:09"
"107000005975","270","20/4/2018 14:34:17"
"107000006123","430","20/4/2018 14:25:41"
"107000006411","720","20/4/2018 14:36:10"
"107000006497","200","20/4/2018 14:49:49"
"107000006543","545","20/4/2018 10:13:18"
"107000006841","758","20/4/2018 14:17:20"
"107000007213","195","20/4/2018 15:05:02"
"107000007237","530","20/4/2018 15:03:21"
"107000007249","670","20/4/2018 14:29:22"
"107000007471","175","20/4/2018 14:22:07"
"107000007489","328","20/4/2018 14:46:58"
"107000007587","228","20/4/2018 14:15:45"
"107000007633","255","20/4/2018 15:00:18"
"107000007751","420","20/4/2018 14:27:11"
"107000007835","221","20/4/2018 15:02:07"
"107000007847","790","20/4/2018 14:58:35"
"107000007947","480","20/4/2018 14:43:18"
"107000007963","450","20/4/2018 15:13:27"
"107000008311","470","20/4/2018 15:07:46"
"107000008391","410","20/4/2018 14:18:22"
"107000008463","380","20/4/2018 14:16:37"
"107000008483","240","20/4/2018 14:20:09"
